Algo | Batch | Fork_ms | Commit_ms | Merge_ms | Mem_MB
Rlog_5yr | 31 | 0 | 0.082 | 0 | 363.297
Rlog_5yr | 30 | 0 | 0.022 | 0 | 363.297
Rlog_5yr | 29 | 0 | 0.021 | 0 | 363.297
Rlog_5yr | 28 | 0 | 0.021 | 0 | 363.297
Rlog_5yr | 27 | 0 | 0.021 | 0 | 363.297
Rlog_5yr | 26 | 0 | 0.034 | 0 | 363.297
Rlog_5yr | 25 | 0 | 0.021 | 0 | 363.555
Rlog_5yr | 24 | 0 | 0.021 | 0 | 364.328
Rlog_5yr | 23 | 0 | 0.021 | 0 | 364.844
Rlog_5yr | 22 | 0 | 0.021 | 0 | 365.359
Rlog_5yr | 21 | 0 | 0.021 | 0 | 365.875
Rlog_5yr | 20 | 0 | 0.021 | 0 | 366.648
Rlog_5yr | 19 | 0 | 0.021 | 0 | 367.164
Rlog_5yr | 18 | 0 | 0.021 | 0 | 367.68
Rlog_5yr | 17 | 0 | 0.021 | 0 | 368.195
Rlog_5yr | 16 | 0 | 0.021 | 0 | 368.969
Rlog_5yr | 15 | 0 | 0.021 | 0 | 369.484
Rlog_5yr | 14 | 0 | 0.021 | 0 | 370
Rlog_5yr | 13 | 0 | 0.021 | 0 | 370.516
Rlog_5yr | 12 | 0 | 0.021 | 0 | 371.289
Rlog_5yr | 11 | 0 | 0.021 | 0 | 371.805
Rlog_5yr | 10 | 0 | 0.021 | 0 | 372.32
Rlog_5yr | 9 | 0 | 0.021 | 0 | 372.836
Rlog_5yr | 8 | 0 | 0.034 | 0 | 373.352
Rlog_5yr | 7 | 0 | 0.021 | 0 | 374.125
Rlog_5yr | 6 | 0 | 0.021 | 0 | 374.641
Rlog_5yr | 5 | 0 | 0.021 | 0 | 375.156
Rlog_5yr | 4 | 0 | 0.021 | 0 | 375.672
Rlog_5yr | 3 | 0 | 0.021 | 0 | 376.445
Rlog_5yr | 2 | 0 | 0.021 | 0 | 376.961
Rlog_5yr | 1 | 0 | 0.02 | 0 | 377.477
Rlog_5yr | 0 | 0 | 0.021 | 0 | 377.992
Rlog_5yr | SUMMARY | 0 | 0 | 34.507 | 396.324
