Algo | Batch | Fork_ms | Commit_ms | Merge_ms | Mem_MB
Rlog_NoSnap | 0 | 0 | 0.062 | 0 | 142.348
Rlog_NoSnap | 1 | 0 | 0.022 | 0 | 142.348
Rlog_NoSnap | 2 | 0 | 0.021 | 0 | 142.348
Rlog_NoSnap | 3 | 0 | 0.021 | 0 | 142.348
Rlog_NoSnap | 4 | 0 | 0.021 | 0 | 142.348
Rlog_NoSnap | 5 | 0 | 0.021 | 0 | 142.863
Rlog_NoSnap | 6 | 0 | 0.021 | 0 | 143.379
Rlog_NoSnap | 7 | 0 | 0.021 | 0 | 143.895
Rlog_NoSnap | 8 | 0 | 0.021 | 0 | 144.41
Rlog_NoSnap | 9 | 0 | 0.02 | 0 | 145.184
Rlog_NoSnap | 10 | 0 | 0.033 | 0 | 145.699
Rlog_NoSnap | 11 | 0 | 0.02 | 0 | 146.215
Rlog_NoSnap | 12 | 0 | 0.02 | 0 | 146.727
Rlog_NoSnap | 13 | 0 | 0.021 | 0 | 147.5
Rlog_NoSnap | 14 | 0 | 0.021 | 0 | 148.016
Rlog_NoSnap | 15 | 0 | 0.021 | 0 | 148.531
Rlog_NoSnap | 16 | 0 | 0.02 | 0 | 149.047
Rlog_NoSnap | 17 | 0 | 0.02 | 0 | 149.562
Rlog_NoSnap | 18 | 0 | 0.021 | 0 | 150.336
Rlog_NoSnap | 19 | 0 | 0.02 | 0 | 150.852
Rlog_NoSnap | 20 | 0 | 0.021 | 0 | 151.367
Rlog_NoSnap | 21 | 0 | 0.02 | 0 | 151.883
Rlog_NoSnap | 22 | 0 | 0.02 | 0 | 152.656
Rlog_NoSnap | 23 | 0 | 0.02 | 0 | 153.172
Rlog_NoSnap | 24 | 0 | 0.02 | 0 | 153.688
Rlog_NoSnap | 25 | 0 | 0.02 | 0 | 154.203
Rlog_NoSnap | 26 | 0 | 0.02 | 0 | 154.977
Rlog_NoSnap | 27 | 0 | 0.02 | 0 | 155.492
Rlog_NoSnap | 28 | 0 | 0.02 | 0 | 156.008
Rlog_NoSnap | 29 | 0 | 0.02 | 0 | 156.523
Rlog_NoSnap | 30 | 0 | 0.02 | 0 | 157.039
Rlog_NoSnap | 31 | 0 | 0.02 | 0 | 157.812
Rlog_NoSnap | SUMMARY | 0 | 0 | 39.026 | 175.973
