Algo | Batch | Fork_ms | Commit_ms | Merge_ms | Mem_MB
CPAMBB | 0 | 0 | 2.105 | 0 | 842.594
CPAMBB | 1 | 0 | 1.643 | 0 | 845.095
CPAMBB | 2 | 0 | 1.86 | 0 | 847.751
CPAMBB | 3 | 0 | 0.992 | 0 | 848.954
CPAMBB | 4 | 0 | 0.927 | 0 | 849.965
CPAMBB | 5 | 0 | 1.01 | 0 | 851.121
CPAMBB | 6 | 0 | 1.023 | 0 | 852.295
CPAMBB | 7 | 0 | 0.868 | 0 | 853.234
CPAMBB | 8 | 0 | 1.074 | 0 | 854.494
CPAMBB | 9 | 0 | 0.587 | 0 | 854.874
CPAMBB | 10 | 0 | 0.751 | 0 | 855.52
CPAMBB | 11 | 0 | 0.897 | 0 | 856.489
CPAMBB | 12 | 0 | 1.059 | 0 | 857.724
CPAMBB | 13 | 0 | 1.212 | 0 | 859.255
CPAMBB | 14 | 0 | 0.685 | 0 | 859.828
CPAMBB | 15 | 0 | 0.803 | 0 | 860.643
CPAMBB | 16 | 0 | 0.906 | 0 | 861.658
CPAMBB | 17 | 0 | 0.664 | 0 | 862.208
CPAMBB | 18 | 0 | 0.674 | 0 | 862.735
CPAMBB | 19 | 0 | 0.676 | 0 | 863.27
CPAMBB | 20 | 0 | 0.661 | 0 | 863.661
CPAMBB | 21 | 0 | 2.011 | 0 | 866.352
CPAMBB | 22 | 0 | 3.726 | 0 | 870.152
CPAMBB | 23 | 0 | 1.699 | 0 | 871.613
CPAMBB | 24 | 0 | 1.548 | 0 | 873.012
CPAMBB | 25 | 0 | 1.242 | 0 | 874.01
CPAMBB | 26 | 0 | 2.377 | 0 | 876.869
CPAMBB | 27 | 0 | 1.288 | 0 | 878.08
CPAMBB | 28 | 0 | 2.262 | 0 | 880.742
CPAMBB | 29 | 0 | 1.369 | 0 | 882.181
CPAMBB | 30 | 0 | 1.415 | 0 | 883.502
CPAMBB | 31 | 0 | 0.814 | 0 | 884.102
CPAMBB | SUMMARY | 0 | 0 | 9608.12 | 913.422
