Algo | Batch | Fork_ms | Commit_ms | Merge_ms | Mem_MB
MVZD | 0 | 0 | 2.62 | 0 | 592.136
MVZD | 1 | 0 | 1.101 | 0 | 592.977
MVZD | 2 | 0 | 1.094 | 0 | 593.932
MVZD | 3 | 0 | 0.9 | 0 | 594.496
MVZD | 4 | 0 | 0.705 | 0 | 595.003
MVZD | 5 | 0 | 0.751 | 0 | 595.594
MVZD | 6 | 0 | 0.688 | 0 | 596.124
MVZD | 7 | 0 | 0.628 | 0 | 596.64
MVZD | 8 | 0 | 0.813 | 0 | 597.237
MVZD | 9 | 0 | 0.451 | 0 | 597.561
MVZD | 10 | 0 | 0.551 | 0 | 597.952
MVZD | 11 | 0 | 0.626 | 0 | 598.476
MVZD | 12 | 0 | 0.693 | 0 | 599.073
MVZD | 13 | 0 | 0.778 | 0 | 599.717
MVZD | 14 | 0 | 0.533 | 0 | 600.116
MVZD | 15 | 0 | 0.544 | 0 | 600.574
MVZD | 16 | 0 | 0.592 | 0 | 601.102
MVZD | 17 | 0 | 0.513 | 0 | 601.514
MVZD | 18 | 0 | 0.468 | 0 | 601.889
MVZD | 19 | 0 | 0.463 | 0 | 602.27
MVZD | 20 | 0 | 0.421 | 0 | 602.588
MVZD | 21 | 0 | 1.193 | 0 | 603.45
MVZD | 22 | 0 | 1.572 | 0 | 604.571
MVZD | 23 | 0 | 0.804 | 0 | 605.213
MVZD | 24 | 0 | 0.741 | 0 | 605.798
MVZD | 25 | 0 | 0.705 | 0 | 606.287
MVZD | 26 | 0 | 1.208 | 0 | 607.366
MVZD | 27 | 0 | 0.673 | 0 | 607.887
MVZD | 28 | 0 | 1.141 | 0 | 608.753
MVZD | 29 | 0 | 0.899 | 0 | 609.413
MVZD | 30 | 0 | 0.744 | 0 | 610.046
MVZD | 31 | 0 | 0.513 | 0 | 610.394
MVZD | SUMMARY | 0 | 0 | 1277.2 | 626.061
