Algo | Batch | Fork_ms | Commit_ms | Merge_ms | Mem_MB
MVZD | 31 | 0 | 1.428 | 0 | 651.439
MVZD | 30 | 0 | 0.622 | 0 | 651.727
MVZD | 29 | 0 | 0.551 | 0 | 651.951
MVZD | 28 | 0 | 0.614 | 0 | 652.222
MVZD | 27 | 0 | 0.866 | 0 | 652.651
MVZD | 26 | 0 | 1.19 | 0 | 653.375
MVZD | 25 | 0 | 0.717 | 0 | 653.765
MVZD | 24 | 0 | 0.683 | 0 | 654.107
MVZD | 23 | 0 | 0.504 | 0 | 654.3
MVZD | 22 | 0 | 0.534 | 0 | 654.544
MVZD | 21 | 0 | 0.498 | 0 | 654.796
MVZD | 20 | 0 | 0.455 | 0 | 654.991
MVZD | 19 | 0 | 0.674 | 0 | 655.353
MVZD | 18 | 0 | 0.457 | 0 | 655.567
MVZD | 17 | 0 | 0.559 | 0 | 655.854
MVZD | 16 | 0 | 0.581 | 0 | 656.124
MVZD | 15 | 0 | 0.676 | 0 | 656.452
MVZD | 14 | 0 | 0.655 | 0 | 656.684
MVZD | 13 | 0 | 0.462 | 0 | 656.837
MVZD | 12 | 0 | 0.532 | 0 | 657.071
MVZD | 11 | 0 | 0.426 | 0 | 657.238
MVZD | 10 | 0 | 1.205 | 0 | 657.801
MVZD | 9 | 0 | 0.98 | 0 | 658.262
MVZD | 8 | 0 | 1.499 | 0 | 658.924
MVZD | 7 | 0 | 1.203 | 0 | 659.458
MVZD | 6 | 0 | 0.991 | 0 | 659.908
MVZD | 5 | 0 | 0.463 | 0 | 660.118
MVZD | 4 | 0 | 0.362 | 0 | 660.251
MVZD | 3 | 0 | 0.254 | 0 | 660.286
MVZD | 2 | 0 | 0.824 | 0 | 660.605
MVZD | 1 | 0 | 0.944 | 0 | 661.04
MVZD | 0 | 0 | 0.94 | 0 | 661.582
MVZD | SUMMARY | 0 | 0 | 873.383 | 668.253
