Algo | Batch | Fork_ms | Commit_ms | Merge_ms | Mem_MB
CPAMBB | 15 | 0 | 26.165 | 0 | 1446.7
CPAMBB | 14 | 0 | 24.928 | 0 | 1453.3
CPAMBB | 13 | 0 | 34.256 | 0 | 1476.93
CPAMBB | 12 | 0 | 32.408 | 0 | 1494.34
CPAMBB | 11 | 0 | 31.492 | 0 | 1508.92
CPAMBB | 10 | 0 | 59.948 | 0 | 1547.02
CPAMBB | 9 | 0 | 31.913 | 0 | 1553.73
CPAMBB | 8 | 0 | 31.084 | 0 | 1561.72
CPAMBB | 7 | 0 | 31.97 | 0 | 1571.48
CPAMBB | 6 | 0 | 29.76 | 0 | 1578.79
CPAMBB | 5 | 0 | 32.055 | 0 | 1589.11
CPAMBB | 4 | 0 | 46.829 | 0 | 1612.66
CPAMBB | 3 | 0 | 41.186 | 0 | 1631.12
CPAMBB | 2 | 0 | 59.36 | 0 | 1666.01
CPAMBB | 1 | 0 | 41.402 | 0 | 1684.61
CPAMBB | 0 | 0 | 45.487 | 0 | 1706.67
CPAMBB | SUMMARY | 0 | 0 | 10633.5 | 1734.86
