Algo | Batch | Fork_ms | Commit_ms | Merge_ms | Mem_MB
Rlog_3yr | 0 | 0 | 1.728 | 0 | 51.7305
Rlog_3yr | 1 | 0 | 0.141 | 0 | 54.5664
Rlog_3yr | 2 | 0 | 0.128 | 0 | 57.6602
Rlog_3yr | 3 | 0 | 0.131 | 0 | 60.4961
Rlog_3yr | 4 | 0 | 0.19 | 0 | 63.5898
Rlog_3yr | 5 | 0 | 0.126 | 0 | 66.4258
Rlog_3yr | 6 | 0 | 0.128 | 0 | 69.5195
Rlog_3yr | 7 | 0 | 0.124 | 0 | 72.3555
Rlog_3yr | 8 | 0 | 0.128 | 0 | 75.4492
Rlog_3yr | 9 | 0 | 0.125 | 0 | 78.2852
Rlog_3yr | 10 | 0 | 0.125 | 0 | 81.3789
Rlog_3yr | 11 | 0 | 0.124 | 0 | 84.2148
Rlog_3yr | 12 | 0 | 0.13 | 0 | 87.3086
Rlog_3yr | 13 | 0 | 0.13 | 0 | 90.1445
Rlog_3yr | 14 | 0 | 0.118 | 0 | 93.2383
Rlog_3yr | 15 | 0 | 0.201 | 0 | 96.0742
Rlog_3yr | SUMMARY | 0 | 0 | 51.156 | 149.535
