Algo | QType | QID | Count | Hash | Time_ms | Mem_MB | Nodes
Rlog_4yr | Range_Small | 0 | 13 | 77370775039 | 1.08785 | 326.602 | 4159634
Rlog_4yr | Range_Small | 1 | 39 | 114525137145 | 1.08785 | 326.602 | 4159634
Rlog_4yr | Range_Small | 2 | 22 | 129856243729 | 1.08785 | 326.602 | 4159634
Rlog_4yr | Range_Small | 3 | 23 | 125861566061 | 1.08785 | 326.602 | 4159634
Rlog_4yr | Range_Small | 4 | 12 | 62231256115 | 1.08785 | 326.602 | 4159634
Rlog_4yr | Range_Small | 5 | 8 | 24044512384 | 1.08785 | 326.602 | 4159634
Rlog_4yr | Range_Small | 6 | 7 | 30210729085 | 1.08785 | 326.602 | 4159634
Rlog_4yr | Range_Small | 7 | 25 | 137139152206 | 1.08785 | 326.602 | 4159634
Rlog_4yr | Range_Small | 8 | 20 | 69205439825 | 1.08785 | 326.602 | 4159634
Rlog_4yr | Range_Small | 9 | 22 | 111590590455 | 1.08785 | 326.602 | 4159634
Rlog_4yr | Range_Small | 10 | 5 | 10444192042 | 1.08785 | 326.602 | 4159634
Rlog_4yr | Range_Small | 11 | 159 | 1224908840390 | 1.08785 | 326.602 | 4159634
Rlog_4yr | Range_Small | 12 | 27 | 152094047076 | 1.08785 | 326.602 | 4159634
Rlog_4yr | Range_Small | 13 | 64 | 498902711018 | 1.08785 | 326.602 | 4159634
Rlog_4yr | Range_Small | 14 | 9 | 62398590491 | 1.08785 | 326.602 | 4159634
Rlog_4yr | Range_Small | 15 | 11 | 67380626347 | 1.08785 | 326.602 | 4159634
Rlog_4yr | Range_Small | 16 | 17 | 94167736767 | 1.08785 | 326.602 | 4159634
Rlog_4yr | Range_Small | 17 | 17 | 54936443278 | 1.08785 | 326.602 | 4159634
Rlog_4yr | Range_Small | 18 | 91 | 300755550064 | 1.08785 | 326.602 | 4159634
Rlog_4yr | Range_Small | 19 | 11 | 49462926783 | 1.08785 | 326.602 | 4159634
Rlog_4yr | Range_Small | 20 | 40 | 276082178268 | 1.08785 | 326.602 | 4159634
Rlog_4yr | Range_Small | 21 | 8 | 20530185936 | 1.08785 | 326.602 | 4159634
Rlog_4yr | Range_Small | 22 | 15 | 121533916642 | 1.08785 | 326.602 | 4159634
Rlog_4yr | Range_Small | 23 | 41 | 316751500055 | 1.08785 | 326.602 | 4159634
Rlog_4yr | Range_Small | 24 | 24 | 85875862369 | 1.08785 | 326.602 | 4159634
Rlog_4yr | Range_Small | 25 | 23 | 109186965647 | 1.08785 | 326.602 | 4159634
Rlog_4yr | Range_Small | 26 | 19 | 86547374841 | 1.08785 | 326.602 | 4159634
Rlog_4yr | Range_Small | 27 | 17 | 135957155180 | 1.08785 | 326.602 | 4159634
Rlog_4yr | Range_Small | 28 | 19 | 76366734289 | 1.08785 | 326.602 | 4159634
Rlog_4yr | Range_Small | 29 | 6 | 39220518399 | 1.08785 | 326.602 | 4159634
Rlog_4yr | Range_Small | 30 | 24 | 119721156575 | 1.08785 | 326.602 | 4159634
Rlog_4yr | Range_Small | 31 | 9 | 38807608900 | 1.08785 | 326.602 | 4159634
Rlog_4yr | Range_Small | 32 | 43 | 326466680123 | 1.08785 | 326.602 | 4159634
Rlog_4yr | Range_Small | 33 | 43 | 197983429584 | 1.08785 | 326.602 | 4159634
Rlog_4yr | Range_Small | 34 | 47 | 335607728439 | 1.08785 | 326.602 | 4159634
Rlog_4yr | Range_Small | 35 | 26 | 119038116735 | 1.08785 | 326.602 | 4159634
Rlog_4yr | Range_Small | 36 | 26 | 144321353783 | 1.08785 | 326.602 | 4159634
Rlog_4yr | Range_Small | 37 | 7 | 27834564444 | 1.08785 | 326.602 | 4159634
Rlog_4yr | Range_Small | 38 | 22 | 93085338743 | 1.08785 | 326.602 | 4159634
Rlog_4yr | Range_Small | 39 | 23 | 144058810345 | 1.08785 | 326.602 | 4159634
Rlog_4yr | Range_Small | 40 | 9 | 65014688263 | 1.08785 | 326.602 | 4159634
Rlog_4yr | Range_Small | 41 | 30 | 236699744426 | 1.08785 | 326.602 | 4159634
Rlog_4yr | Range_Small | 42 | 20 | 144042841331 | 1.08785 | 326.602 | 4159634
Rlog_4yr | Range_Small | 43 | 26 | 109746726127 | 1.08785 | 326.602 | 4159634
