Algo | Batch | Fork_ms | Commit_ms | Merge_ms | Mem_MB
CPAMBB | 15 | 0 | 8.174 | 0 | 1074.74
CPAMBB | 14 | 0 | 8.353 | 0 | 1084.53
CPAMBB | 13 | 0 | 8.276 | 0 | 1090.19
CPAMBB | 12 | 0 | 11.664 | 0 | 1096.08
CPAMBB | 11 | 0 | 9.821 | 0 | 1100.72
CPAMBB | 10 | 0 | 5.092 | 0 | 1101.77
CPAMBB | 9 | 0 | 6.257 | 0 | 1103.94
CPAMBB | 8 | 0 | 7.158 | 0 | 1106.83
CPAMBB | 7 | 0 | 6.574 | 0 | 1109.32
CPAMBB | 6 | 0 | 6.304 | 0 | 1111.69
CPAMBB | 5 | 0 | 6.624 | 0 | 1114.56
CPAMBB | 4 | 0 | 6.598 | 0 | 1117.22
CPAMBB | 3 | 0 | 6.984 | 0 | 1120.44
CPAMBB | 2 | 0 | 6.338 | 0 | 1122.91
CPAMBB | 1 | 0 | 11.914 | 0 | 1130.04
CPAMBB | 0 | 0 | 18.31 | 0 | 1142.51
CPAMBB | SUMMARY | 0 | 0 | 5919.27 | 1178.73
