Algo | Batch | Fork_ms | Commit_ms | Merge_ms | Mem_MB
MVZD | 0 | 0 | 6.427 | 0 | 510.357
MVZD | 1 | 0 | 4.288 | 0 | 513.115
MVZD | 2 | 0 | 3.479 | 0 | 515.428
MVZD | 3 | 0 | 3.605 | 0 | 517.823
MVZD | 4 | 0 | 3.369 | 0 | 520.023
MVZD | 5 | 0 | 3.491 | 0 | 522.22
MVZD | 6 | 0 | 3.407 | 0 | 524.279
MVZD | 7 | 0 | 3.477 | 0 | 526.376
MVZD | 8 | 0 | 3.665 | 0 | 528.661
MVZD | 9 | 0 | 3.358 | 0 | 530.831
MVZD | 10 | 0 | 3.088 | 0 | 532.542
MVZD | 11 | 0 | 4.214 | 0 | 535.294
MVZD | 12 | 0 | 4.564 | 0 | 538.488
MVZD | 13 | 0 | 4.486 | 0 | 541.433
MVZD | 14 | 0 | 6.017 | 0 | 545.525
MVZD | 15 | 0 | 5.552 | 0 | 549.199
MVZD | SUMMARY | 0 | 0 | 1786.99 | 585.215
