Algo | Batch | Fork_ms | Commit_ms | Merge_ms | Mem_MB
MVZD | 15 | 0 | 2.07 | 0 | 660.85
MVZD | 14 | 0 | 2.25 | 0 | 661.888
MVZD | 13 | 0 | 2.107 | 0 | 663.043
MVZD | 12 | 0 | 1.651 | 0 | 663.724
MVZD | 11 | 0 | 2.713 | 0 | 665.085
MVZD | 10 | 0 | 1.925 | 0 | 665.955
MVZD | 9 | 0 | 1.16 | 0 | 666.23
MVZD | 8 | 0 | 1.542 | 0 | 666.659
MVZD | 7 | 0 | 1.4 | 0 | 667.028
MVZD | 6 | 0 | 2.554 | 0 | 668.001
MVZD | 5 | 0 | 1.751 | 0 | 668.527
MVZD | 4 | 0 | 1.833 | 0 | 669.038
MVZD | 3 | 0 | 1.933 | 0 | 669.659
MVZD | 2 | 0 | 2.109 | 0 | 670.288
MVZD | 1 | 0 | 2.9 | 0 | 671.393
MVZD | 0 | 0 | 3.542 | 0 | 672.896
MVZD | SUMMARY | 0 | 0 | 698.819 | 680.983
