Algo | Batch | Fork_ms | Commit_ms | Merge_ms | Mem_MB
CPAMBB | 0 | 0 | 2.933 | 0 | 819.459
CPAMBB | 1 | 0 | 2.637 | 0 | 823.139
CPAMBB | 2 | 0 | 1.813 | 0 | 825.25
CPAMBB | 3 | 0 | 1.865 | 0 | 827.307
CPAMBB | 4 | 0 | 1.626 | 0 | 828.894
CPAMBB | 5 | 0 | 1.629 | 0 | 830.443
CPAMBB | 6 | 0 | 2.178 | 0 | 833.056
CPAMBB | 7 | 0 | 1.499 | 0 | 834.319
CPAMBB | 8 | 0 | 1.632 | 0 | 835.845
CPAMBB | 9 | 0 | 1.354 | 0 | 836.83
CPAMBB | 10 | 0 | 2.565 | 0 | 839.791
CPAMBB | 11 | 0 | 3.708 | 0 | 844.71
CPAMBB | 12 | 0 | 2.167 | 0 | 846.949
CPAMBB | 13 | 0 | 2.967 | 0 | 850.772
CPAMBB | 14 | 0 | 3.149 | 0 | 854.774
CPAMBB | 15 | 0 | 2.086 | 0 | 856.682
CPAMBB | SUMMARY | 0 | 0 | 4745.95 | 886.001
