Algo | Batch | Fork_ms | Commit_ms | Merge_ms | Mem_MB
Rlog_5yr | 0 | 0 | 0.006 | 0 | 180.601
Rlog_5yr | 1 | 0 | 0.003 | 0 | 180.708
Rlog_5yr | 2 | 0 | 0.003 | 0 | 180.816
Rlog_5yr | 3 | 0 | 0.003 | 0 | 180.923
Rlog_5yr | 4 | 0 | 0.003 | 0 | 181.031
Rlog_5yr | 5 | 0 | 0.003 | 0 | 181.138
Rlog_5yr | 6 | 0 | 0.003 | 0 | 181.246
Rlog_5yr | 7 | 0 | 0.003 | 0 | 181.353
Rlog_5yr | 8 | 0 | 0.003 | 0 | 181.461
Rlog_5yr | 9 | 0 | 0.003 | 0 | 181.568
Rlog_5yr | 10 | 0 | 0.003 | 0 | 181.676
Rlog_5yr | 11 | 0 | 0.003 | 0 | 181.783
Rlog_5yr | 12 | 0 | 0.003 | 0 | 181.891
Rlog_5yr | 13 | 0 | 0.003 | 0 | 181.998
Rlog_5yr | 14 | 0 | 0.003 | 0 | 182.106
Rlog_5yr | 15 | 0 | 0.003 | 0 | 182.213
Rlog_5yr | SUMMARY | 0 | 0 | 705.412 | 273.209
