Algo | Batch | Fork_ms | Commit_ms | Merge_ms | Mem_MB
MVZD | 0 | 0 | 12.139 | 0 | 335.754
MVZD | 1 | 0 | 3.536 | 0 | 337.604
MVZD | 2 | 0 | 3.753 | 0 | 339.618
MVZD | 3 | 0 | 4.321 | 0 | 342.221
MVZD | 4 | 0 | 4.282 | 0 | 344.672
MVZD | 5 | 0 | 4.105 | 0 | 346.911
MVZD | 6 | 0 | 5.028 | 0 | 349.813
MVZD | 7 | 0 | 6.651 | 0 | 353.564
MVZD | 8 | 0 | 6.008 | 0 | 356.739
MVZD | 9 | 0 | 6.488 | 0 | 360.211
MVZD | 10 | 0 | 6.851 | 0 | 363.973
MVZD | 11 | 0 | 6.906 | 0 | 367.6
MVZD | 12 | 0 | 5.101 | 0 | 370.136
MVZD | 13 | 0 | 5.632 | 0 | 372.907
MVZD | 14 | 0 | 4.54 | 0 | 375.052
MVZD | 15 | 0 | 5.787 | 0 | 377.925
MVZD | 16 | 0 | 7.176 | 0 | 381.75
MVZD | 17 | 0 | 7.653 | 0 | 385.86
MVZD | 18 | 0 | 7.002 | 0 | 389.466
MVZD | 19 | 0 | 7.132 | 0 | 393.064
MVZD | 20 | 0 | 8.575 | 0 | 397.506
MVZD | 21 | 0 | 6.402 | 0 | 400.356
MVZD | 22 | 0 | 4.975 | 0 | 402.635
MVZD | 23 | 0 | 5.476 | 0 | 405.076
MVZD | 24 | 0 | 4.229 | 0 | 406.808
MVZD | 25 | 0 | 4.478 | 0 | 408.786
MVZD | 26 | 0 | 4.58 | 0 | 410.475
MVZD | 27 | 0 | 6.148 | 0 | 413.374
MVZD | 28 | 0 | 7.999 | 0 | 417.242
MVZD | 29 | 0 | 6.668 | 0 | 420.306
MVZD | 30 | 0 | 5.526 | 0 | 422.843
MVZD | 31 | 0 | 9.321 | 0 | 427.41
MVZD | SUMMARY | 0 | 0 | 8418.88 | 511.635
