Algo | Batch | Fork_ms | Commit_ms | Merge_ms | Mem_MB
Rlog_2yr | 0 | 0 | 0.015 | 0 | 237.213
Rlog_2yr | 1 | 0 | 0.011 | 0 | 237.472
Rlog_2yr | 2 | 0 | 0.01 | 0 | 237.731
Rlog_2yr | 3 | 0 | 0.01 | 0 | 237.99
Rlog_2yr | 4 | 0 | 0.009 | 0 | 238.249
Rlog_2yr | 5 | 0 | 0.01 | 0 | 238.508
Rlog_2yr | 6 | 0 | 0.009 | 0 | 238.767
Rlog_2yr | 7 | 0 | 0.022 | 0 | 239.026
Rlog_2yr | 8 | 0 | 0.01 | 0 | 239.285
Rlog_2yr | 9 | 0 | 0.01 | 0 | 239.544
Rlog_2yr | 10 | 0 | 0.01 | 0 | 239.803
Rlog_2yr | 11 | 0 | 0.022 | 0 | 240.062
Rlog_2yr | 12 | 0 | 0.009 | 0 | 240.321
Rlog_2yr | 13 | 0 | 0.009 | 0 | 240.58
Rlog_2yr | 14 | 0 | 0.009 | 0 | 240.839
Rlog_2yr | 15 | 0 | 0.01 | 0 | 241.098
Rlog_2yr | 16 | 0 | 0.024 | 0 | 241.357
Rlog_2yr | 17 | 0 | 0.009 | 0 | 241.616
Rlog_2yr | 18 | 0 | 0.01 | 0 | 241.875
Rlog_2yr | 19 | 0 | 0.009 | 0 | 242.135
Rlog_2yr | 20 | 0 | 0.009 | 0 | 242.394
Rlog_2yr | 21 | 0 | 0.009 | 0 | 242.653
Rlog_2yr | 22 | 0 | 0.009 | 0 | 242.912
Rlog_2yr | 23 | 0 | 0.01 | 0 | 243.171
Rlog_2yr | 24 | 0 | 0.01 | 0 | 243.43
Rlog_2yr | 25 | 0 | 0.009 | 0 | 243.689
Rlog_2yr | 26 | 0 | 0.009 | 0 | 243.948
Rlog_2yr | 27 | 0 | 0.009 | 0 | 244.207
Rlog_2yr | 28 | 0 | 0.009 | 0 | 244.466
Rlog_2yr | 29 | 0 | 0.009 | 0 | 244.725
Rlog_2yr | 30 | 0 | 0.01 | 0 | 244.984
Rlog_2yr | 31 | 0 | 0.009 | 0 | 245.243
Rlog_2yr | SUMMARY | 0 | 0 | 9.717 | 253.532
