Algo | Batch | Fork_ms | Commit_ms | Merge_ms | Mem_MB
Rlog_4yr | 31 | 0 | 0.005 | 0 | 275.372
Rlog_4yr | 30 | 0 | 0.003 | 0 | 275.465
Rlog_4yr | 29 | 0 | 0.003 | 0 | 275.557
Rlog_4yr | 28 | 0 | 0.003 | 0 | 275.65
Rlog_4yr | 27 | 0 | 0.016 | 0 | 275.742
Rlog_4yr | 26 | 0 | 0.003 | 0 | 275.835
Rlog_4yr | 25 | 0 | 0.003 | 0 | 275.927
Rlog_4yr | 24 | 0 | 0.003 | 0 | 276.02
Rlog_4yr | 23 | 0 | 0.003 | 0 | 276.112
Rlog_4yr | 22 | 0 | 0.003 | 0 | 276.205
Rlog_4yr | 21 | 0 | 0.002 | 0 | 276.297
Rlog_4yr | 20 | 0 | 0.003 | 0 | 276.39
Rlog_4yr | 19 | 0 | 0.003 | 0 | 276.482
Rlog_4yr | 18 | 0 | 0.002 | 0 | 276.575
Rlog_4yr | 17 | 0 | 0.002 | 0 | 276.667
Rlog_4yr | 16 | 0 | 0.003 | 0 | 276.76
Rlog_4yr | 15 | 0 | 0.003 | 0 | 276.852
Rlog_4yr | 14 | 0 | 0.002 | 0 | 276.945
Rlog_4yr | 13 | 0 | 0.003 | 0 | 277.037
Rlog_4yr | 12 | 0 | 0.003 | 0 | 277.13
Rlog_4yr | 11 | 0 | 0.003 | 0 | 277.222
Rlog_4yr | 10 | 0 | 0.003 | 0 | 277.315
Rlog_4yr | 9 | 0 | 0.003 | 0 | 277.407
Rlog_4yr | 8 | 0 | 0.003 | 0 | 277.5
Rlog_4yr | 7 | 0 | 0.003 | 0 | 277.592
Rlog_4yr | 6 | 0 | 0.002 | 0 | 277.685
Rlog_4yr | 5 | 0 | 0.003 | 0 | 277.777
Rlog_4yr | 4 | 0 | 0.003 | 0 | 277.87
Rlog_4yr | 3 | 0 | 0.003 | 0 | 277.962
Rlog_4yr | 2 | 0 | 0.002 | 0 | 278.055
Rlog_4yr | 1 | 0 | 0.002 | 0 | 278.147
Rlog_4yr | 0 | 0 | 0.002 | 0 | 278.24
Rlog_4yr | SUMMARY | 0 | 0 | 4.715 | 281.199
