Algo | Batch | Fork_ms | Commit_ms | Merge_ms | Mem_MB
CPAMBB | 0 | 0 | 1.895 | 0 | 103.552
CPAMBB | 1 | 0 | 1.543 | 0 | 103.967
CPAMBB | 2 | 0 | 1.691 | 0 | 104.399
CPAMBB | 3 | 0 | 0.848 | 0 | 104.567
CPAMBB | 4 | 0 | 0.81 | 0 | 104.726
CPAMBB | 5 | 0 | 0.885 | 0 | 104.89
CPAMBB | 6 | 0 | 0.891 | 0 | 105.075
CPAMBB | 7 | 0 | 0.742 | 0 | 105.207
CPAMBB | 8 | 0 | 0.884 | 0 | 105.385
CPAMBB | 9 | 0 | 0.507 | 0 | 105.431
CPAMBB | 10 | 0 | 0.625 | 0 | 105.527
CPAMBB | 11 | 0 | 0.846 | 0 | 105.659
CPAMBB | 12 | 0 | 0.934 | 0 | 105.838
CPAMBB | 13 | 0 | 1.036 | 0 | 106.066
CPAMBB | 14 | 0 | 0.576 | 0 | 106.144
CPAMBB | 15 | 0 | 0.687 | 0 | 106.262
CPAMBB | 16 | 0 | 0.781 | 0 | 106.408
CPAMBB | 17 | 0 | 0.555 | 0 | 106.482
CPAMBB | 18 | 0 | 0.552 | 0 | 106.557
CPAMBB | 19 | 0 | 0.55 | 0 | 106.625
CPAMBB | 20 | 0 | 0.514 | 0 | 106.678
CPAMBB | 21 | 0 | 1.774 | 0 | 107.135
CPAMBB | 22 | 0 | 2.301 | 0 | 107.787
CPAMBB | 23 | 0 | 1.101 | 0 | 108.035
CPAMBB | 24 | 0 | 1.075 | 0 | 108.255
CPAMBB | 25 | 0 | 0.87 | 0 | 108.411
CPAMBB | 26 | 0 | 1.753 | 0 | 108.806
CPAMBB | 27 | 0 | 0.976 | 0 | 109.006
CPAMBB | 28 | 0 | 1.809 | 0 | 109.459
CPAMBB | 29 | 0 | 1.106 | 0 | 109.686
CPAMBB | 30 | 0 | 1.195 | 0 | 109.879
CPAMBB | 31 | 0 | 0.682 | 0 | 109.983
CPAMBB | SUMMARY | 0 | 0 | 9677.65 | 113.81
