Algo | Batch | Fork_ms | Commit_ms | Merge_ms | Mem_MB
CPAMBB | 15 | 0 | 14.513 | 0 | 153.277
CPAMBB | 14 | 0 | 13.547 | 0 | 155.105
CPAMBB | 13 | 0 | 9.385 | 0 | 155.794
CPAMBB | 12 | 0 | 8.09 | 0 | 156.165
CPAMBB | 11 | 0 | 14.122 | 0 | 157.214
CPAMBB | 10 | 0 | 21.467 | 0 | 158.921
CPAMBB | 9 | 0 | 21.455 | 0 | 160.547
CPAMBB | 8 | 0 | 23.947 | 0 | 162.48
CPAMBB | 7 | 0 | 13.704 | 0 | 163.294
CPAMBB | 6 | 0 | 14.694 | 0 | 164.204
CPAMBB | 5 | 0 | 20.2 | 0 | 165.657
CPAMBB | 4 | 0 | 21.073 | 0 | 167.19
CPAMBB | 3 | 0 | 19.173 | 0 | 168.518
CPAMBB | 2 | 0 | 11.954 | 0 | 169.103
CPAMBB | 1 | 0 | 14.015 | 0 | 169.96
CPAMBB | 0 | 0 | 34.548 | 0 | 173.464
CPAMBB | SUMMARY | 0 | 0 | 7345.49 | 183.898
