Algo | Batch | Fork_ms | Commit_ms | Merge_ms | Mem_MB
MVZD | 15 | 0 | 13.011 | 0 | 728.754
MVZD | 14 | 0 | 11.866 | 0 | 733.435
MVZD | 13 | 0 | 8.777 | 0 | 735.323
MVZD | 12 | 0 | 7.937 | 0 | 736.679
MVZD | 11 | 0 | 10.635 | 0 | 739.507
MVZD | 10 | 0 | 13.508 | 0 | 744.507
MVZD | 9 | 0 | 14.434 | 0 | 749.34
MVZD | 8 | 0 | 16.058 | 0 | 754.805
MVZD | 7 | 0 | 10.514 | 0 | 757.151
MVZD | 6 | 0 | 11.119 | 0 | 759.89
MVZD | 5 | 0 | 15.079 | 0 | 765.182
MVZD | 4 | 0 | 15.695 | 0 | 770.006
MVZD | 3 | 0 | 14.155 | 0 | 774.274
MVZD | 2 | 0 | 9.926 | 0 | 776.292
MVZD | 1 | 0 | 10.647 | 0 | 778.64
MVZD | 0 | 0 | 18.739 | 0 | 784.978
MVZD | SUMMARY | 0 | 0 | 4298.74 | 825.39
