Algo | QType | QID | Count | Hash | Time_ms | Mem_MB | Nodes
Rlog_NoSnap | Range_Small | 0 | 13 | 77370775039 | 5.96857 | 197.586 | 4084482
Rlog_NoSnap | Range_Small | 1 | 39 | 114525137145 | 5.96857 | 197.586 | 4084482
Rlog_NoSnap | Range_Small | 2 | 22 | 129856243729 | 5.96857 | 197.586 | 4084482
Rlog_NoSnap | Range_Small | 3 | 23 | 125861566061 | 5.96857 | 197.586 | 4084482
Rlog_NoSnap | Range_Small | 4 | 12 | 62231256115 | 5.96857 | 197.586 | 4084482
Rlog_NoSnap | Range_Small | 5 | 8 | 24044512384 | 5.96857 | 197.586 | 4084482
Rlog_NoSnap | Range_Small | 6 | 7 | 30210729085 | 5.96857 | 197.586 | 4084482
Rlog_NoSnap | Range_Small | 7 | 25 | 137139152206 | 5.96857 | 197.586 | 4084482
Rlog_NoSnap | Range_Small | 8 | 20 | 69205439825 | 5.96857 | 197.586 | 4084482
Rlog_NoSnap | Range_Small | 9 | 22 | 111590590455 | 5.96857 | 197.586 | 4084482
Rlog_NoSnap | Range_Small | 10 | 5 | 10444192042 | 5.96857 | 197.586 | 4084482
Rlog_NoSnap | Range_Small | 11 | 159 | 1224908840390 | 5.96857 | 197.586 | 4084482
Rlog_NoSnap | Range_Small | 12 | 31 | 160178704371 | 5.96857 | 197.586 | 4084482
Rlog_NoSnap | Range_Small | 13 | 64 | 498902711018 | 5.96857 | 197.586 | 4084482
Rlog_NoSnap | Range_Small | 14 | 94 | 1124713556068 | 5.96857 | 197.586 | 4084482
Rlog_NoSnap | Range_Small | 15 | 11 | 67380626347 | 5.96857 | 197.586 | 4084482
Rlog_NoSnap | Range_Small | 16 | 17 | 94167736767 | 5.96857 | 197.586 | 4084482
Rlog_NoSnap | Range_Small | 17 | 19 | 60888384699 | 5.96857 | 197.586 | 4084482
Rlog_NoSnap | Range_Small | 18 | 91 | 300755550064 | 5.96857 | 197.586 | 4084482
Rlog_NoSnap | Range_Small | 19 | 11 | 49462926783 | 5.96857 | 197.586 | 4084482
Rlog_NoSnap | Range_Small | 20 | 40 | 276082178268 | 5.96857 | 197.586 | 4084482
Rlog_NoSnap | Range_Small | 21 | 8 | 20530185936 | 5.96857 | 197.586 | 4084482
Rlog_NoSnap | Range_Small | 22 | 18 | 154349952349 | 5.96857 | 197.586 | 4084482
Rlog_NoSnap | Range_Small | 23 | 41 | 316751500055 | 5.96857 | 197.586 | 4084482
Rlog_NoSnap | Range_Small | 24 | 24 | 85875862369 | 5.96857 | 197.586 | 4084482
Rlog_NoSnap | Range_Small | 25 | 23 | 109186965647 | 5.96857 | 197.586 | 4084482
Rlog_NoSnap | Range_Small | 26 | 19 | 86547374841 | 5.96857 | 197.586 | 4084482
Rlog_NoSnap | Range_Small | 27 | 17 | 135957155180 | 5.96857 | 197.586 | 4084482
Rlog_NoSnap | Range_Small | 28 | 19 | 76366734289 | 5.96857 | 197.586 | 4084482
Rlog_NoSnap | Range_Small | 29 | 6 | 39220518399 | 5.96857 | 197.586 | 4084482
Rlog_NoSnap | Range_Small | 30 | 24 | 119721156575 | 5.96857 | 197.586 | 4084482
Rlog_NoSnap | Range_Small | 31 | 9 | 38807608900 | 5.96857 | 197.586 | 4084482
Rlog_NoSnap | Range_Small | 32 | 43 | 326466680123 | 5.96857 | 197.586 | 4084482
