Algo | Batch | Fork_ms | Commit_ms | Merge_ms | Mem_MB
MVZD | 31 | 0 | 10.535 | 0 | 737.444
MVZD | 30 | 0 | 6.332 | 0 | 738.971
MVZD | 29 | 0 | 7.161 | 0 | 741.056
MVZD | 28 | 0 | 9.04 | 0 | 744.313
MVZD | 27 | 0 | 6.22 | 0 | 746.035
MVZD | 26 | 0 | 4.147 | 0 | 746.551
MVZD | 25 | 0 | 4.528 | 0 | 747.267
MVZD | 24 | 0 | 4.415 | 0 | 747.957
MVZD | 23 | 0 | 6.591 | 0 | 749.847
MVZD | 22 | 0 | 5.124 | 0 | 750.868
MVZD | 21 | 0 | 5.879 | 0 | 752.557
MVZD | 20 | 0 | 9.243 | 0 | 755.885
MVZD | 19 | 0 | 7.895 | 0 | 758.34
MVZD | 18 | 0 | 7.532 | 0 | 760.867
MVZD | 17 | 0 | 7.949 | 0 | 763.76
MVZD | 16 | 0 | 7.501 | 0 | 766.379
MVZD | 15 | 0 | 5.794 | 0 | 768.003
MVZD | 14 | 0 | 4.727 | 0 | 768.879
MVZD | 13 | 0 | 6.306 | 0 | 770.429
MVZD | 12 | 0 | 5.665 | 0 | 771.68
MVZD | 11 | 0 | 7.832 | 0 | 774.357
MVZD | 10 | 0 | 7.695 | 0 | 777.001
MVZD | 9 | 0 | 7.773 | 0 | 779.698
MVZD | 8 | 0 | 7.125 | 0 | 781.859
MVZD | 7 | 0 | 7.319 | 0 | 784.432
MVZD | 6 | 0 | 6.381 | 0 | 786.22
MVZD | 5 | 0 | 4.893 | 0 | 787.171
MVZD | 4 | 0 | 5.369 | 0 | 788.294
MVZD | 3 | 0 | 5.62 | 0 | 789.837
MVZD | 2 | 0 | 4.653 | 0 | 790.749
MVZD | 1 | 0 | 4.202 | 0 | 791.394
MVZD | 0 | 0 | 14.06 | 0 | 797.262
MVZD | SUMMARY | 0 | 0 | 437.416 | 837.674
