Algo | Batch | Fork_ms | Commit_ms | Merge_ms | Mem_MB
Rlog_4yr | 31 | 0 | 0.046 | 0 | 503.012
Rlog_4yr | 30 | 0 | 0.021 | 0 | 503.012
Rlog_4yr | 29 | 0 | 0.021 | 0 | 503.012
Rlog_4yr | 28 | 0 | 0.02 | 0 | 503.012
Rlog_4yr | 27 | 0 | 0.02 | 0 | 503.012
Rlog_4yr | 26 | 0 | 0.021 | 0 | 503.012
Rlog_4yr | 25 | 0 | 0.02 | 0 | 503.527
Rlog_4yr | 24 | 0 | 0.021 | 0 | 504.301
Rlog_4yr | 23 | 0 | 0.02 | 0 | 504.816
Rlog_4yr | 22 | 0 | 0.02 | 0 | 505.332
Rlog_4yr | 21 | 0 | 0.02 | 0 | 505.848
Rlog_4yr | 20 | 0 | 0.02 | 0 | 506.621
Rlog_4yr | 19 | 0 | 0.02 | 0 | 507.137
Rlog_4yr | 18 | 0 | 0.02 | 0 | 507.652
Rlog_4yr | 17 | 0 | 0.02 | 0 | 508.168
Rlog_4yr | 16 | 0 | 0.02 | 0 | 508.684
Rlog_4yr | 15 | 0 | 0.02 | 0 | 509.457
Rlog_4yr | 14 | 0 | 0.02 | 0 | 509.973
Rlog_4yr | 13 | 0 | 0.02 | 0 | 510.488
Rlog_4yr | 12 | 0 | 0.02 | 0 | 511.004
Rlog_4yr | 11 | 0 | 0.02 | 0 | 511.777
Rlog_4yr | 10 | 0 | 0.02 | 0 | 512.293
Rlog_4yr | 9 | 0 | 0.02 | 0 | 512.809
Rlog_4yr | 8 | 0 | 0.02 | 0 | 513.324
Rlog_4yr | 7 | 0 | 0.02 | 0 | 514.098
Rlog_4yr | 6 | 0 | 0.02 | 0 | 514.613
Rlog_4yr | 5 | 0 | 0.02 | 0 | 515.129
Rlog_4yr | 4 | 0 | 0.02 | 0 | 515.645
Rlog_4yr | 3 | 0 | 0.047 | 0 | 516.16
Rlog_4yr | 2 | 0 | 0.02 | 0 | 516.934
Rlog_4yr | 1 | 0 | 0.021 | 0 | 517.449
Rlog_4yr | 0 | 0 | 0.021 | 0 | 517.965
Rlog_4yr | SUMMARY | 0 | 0 | 22.312 | 536.145
