Algo | Batch | Fork_ms | Commit_ms | Merge_ms | Mem_MB
Rlog_2yr | 0 | 0 | 0.676 | 0 | 141.648
Rlog_2yr | 1 | 0 | 0.123 | 0 | 142.938
Rlog_2yr | 2 | 0 | 0.044 | 0 | 144.227
Rlog_2yr | 3 | 0 | 0.043 | 0 | 145.258
Rlog_2yr | 4 | 0 | 0.043 | 0 | 146.547
Rlog_2yr | 5 | 0 | 0.043 | 0 | 147.578
Rlog_2yr | 6 | 0 | 0.043 | 0 | 148.867
Rlog_2yr | 7 | 0 | 0.043 | 0 | 149.898
Rlog_2yr | 8 | 0 | 0.043 | 0 | 150.93
Rlog_2yr | 9 | 0 | 0.042 | 0 | 152.219
Rlog_2yr | 10 | 0 | 0.043 | 0 | 153.25
Rlog_2yr | 11 | 0 | 0.043 | 0 | 154.539
Rlog_2yr | 12 | 0 | 0.043 | 0 | 155.57
Rlog_2yr | 13 | 0 | 0.042 | 0 | 156.859
Rlog_2yr | 14 | 0 | 0.043 | 0 | 157.891
Rlog_2yr | 15 | 0 | 0.042 | 0 | 159.18
Rlog_2yr | SUMMARY | 0 | 0 | 638.667 | 276.805
