Algo | Batch | Fork_ms | Commit_ms | Merge_ms | Mem_MB
CPAMBB | 15 | 0 | 14.022 | 0 | 1074.74
CPAMBB | 14 | 0 | 15.012 | 0 | 1084.53
CPAMBB | 13 | 0 | 10.266 | 0 | 1090.19
CPAMBB | 12 | 0 | 11.077 | 0 | 1096.08
CPAMBB | 11 | 0 | 9.512 | 0 | 1100.72
CPAMBB | 10 | 0 | 4.812 | 0 | 1101.77
CPAMBB | 9 | 0 | 5.838 | 0 | 1103.94
CPAMBB | 8 | 0 | 6.649 | 0 | 1106.83
CPAMBB | 7 | 0 | 6.195 | 0 | 1109.32
CPAMBB | 6 | 0 | 6.215 | 0 | 1111.69
CPAMBB | 5 | 0 | 6.522 | 0 | 1114.56
CPAMBB | 4 | 0 | 6.454 | 0 | 1117.22
CPAMBB | 3 | 0 | 6.734 | 0 | 1120.44
CPAMBB | 2 | 0 | 5.931 | 0 | 1122.91
CPAMBB | 1 | 0 | 11.248 | 0 | 1130.04
CPAMBB | 0 | 0 | 17.275 | 0 | 1142.51
CPAMBB | SUMMARY | 0 | 0 | 2068.47 | 1178.73
