Algo | Batch | Fork_ms | Commit_ms | Merge_ms | Mem_MB
MVZD | 0 | 0 | 3.355 | 0 | 586.808
MVZD | 1 | 0 | 3.02 | 0 | 588.294
MVZD | 2 | 0 | 2.734 | 0 | 589.379
MVZD | 3 | 0 | 2.122 | 0 | 590.41
MVZD | 4 | 0 | 2.107 | 0 | 591.319
MVZD | 5 | 0 | 1.911 | 0 | 592.221
MVZD | 6 | 0 | 2.474 | 0 | 593.431
MVZD | 7 | 0 | 1.81 | 0 | 594.269
MVZD | 8 | 0 | 1.926 | 0 | 595.197
MVZD | 9 | 0 | 1.624 | 0 | 595.93
MVZD | 10 | 0 | 2.564 | 0 | 597.084
MVZD | 11 | 0 | 3.563 | 0 | 598.772
MVZD | 12 | 0 | 2.093 | 0 | 599.811
MVZD | 13 | 0 | 2.946 | 0 | 601.372
MVZD | 14 | 0 | 2.96 | 0 | 602.868
MVZD | 15 | 0 | 2.013 | 0 | 603.844
MVZD | SUMMARY | 0 | 0 | 79.32 | 619.511
